Versammlung,"Zusammenkunft mehrerer Personen zur gemeinschaftlichen, auf die Teilhabe an der öffentlichen Meinungsbildung gerichteten Erörterung oder Kundgebung (Verfolgung eines gemeinsamen Zwecks bei innerer Verbundenheit – sonst „Ansammlung“)",
Handlungsfreiheit (Sachlicher Schutzbereich),"Der Schutzbereich der allgemeinen Handlungsfreiheit umfasst alle Handlungsmöglichkeiten, die nicht bereits in den Schutzbereich eines anderen Grundrechts fallen, also jegliches Handeln.",
Allgemeines Persönlichkeitsrecht (Sachlicher Schutzbereich),"Das allgemeine Persönlichkeitsrecht schützt zunächst die innere persönliche Lebenssphäre und die Erhaltung ihrer Grundbedingungen. Es sichert einen autonomen Bereich privater Lebensgestaltung, in dem der Einzelne seine Individualität entwickeln und wahren kann. Hierbei geht es insbesondere um den Schutz der Privatsphäre.",
Ausprägungen des APR (Fallgruppen),"Recht auf Selbstbestimmung, Recht auf Selbstdarstellung und Recht auf Selbstbewahrung",
Recht auf Selbstbestimmung,"Recht des Einzelnen, selbst zu bestimmen bzw. herauszufinden, wer er ist (Festlegung der eigenen Identität). o Konkret: Recht auf Kenntnis der eigenen Abstammung, Recht auf Bestimmung des eigenen Geschlechts, Recht auf Fortpflanzung, Recht auf schuldenfreien Eintritt in die Volljährigkeit, Recht des Straftäters auf schuldangemessene Bestrafung und Resozialisierung, Recht auf Kenntnis der Vaterschaft.",
Recht auf Selbstbewahrung,"Recht des einzelnen, sich zurückzuziehen, abzuschirmen, für sich und allein zu bleiben (im sozialen, aber auch räumlichen Sinne). Konkret: Vertrauensverhältnis Arzt – Patient, Vertraulichkeit des Tagebuchs, der Krankenakte",
Recht auf Selbstdarstellung,"Recht des Einzelnen, sich herabsetzender, verfälschender, entstellender und unerbetener öffentlicher Darstellungen sowie unerbetener heimlicher Wahrnehmungen seiner Person erwehren zu können. Konkret: Recht am eigenen Bild, Recht am eigenen Wort, Recht auf Gegendarstellung, Recht auf Schutz vor heimlichem Abhören, Recht auf informationelle Selbstbestimmung, Recht auf die Gewährung der Vertraulichkeit und Integrität informationstechnischer Systeme („Computergrundrecht“/“IT-Grundrecht“), Recht der persönlichen Ehre, postmortales Persönlichkeitsrecht.",
Sphärentheorie (APR) - Teil der Rechtfertigung,Sozialsphäre: geringe Rechtfertigungsbedürftigkeit,"<ul><li>Privatsphäre: Einschränkung nur bei wichtigen Gütern des Allgemeinwohls</li><li>Intimsphäre: grds. (!) Eingriff unzulässig, keine Rechtfertigung möglich</li></ul>"
Leben iSd. Art. 2 II 1 GG (Sachlicher Schutzbereich),"Leben ist das körperliche Dasein, also die biologisch-physische Existenz (endet mit dem Tod: irreversible Funktionsunfähigkeit des Hirns)",
Körperliche Unversehrtheit iSd. Art. 2 II 1 GG (Sachlicher Schutzbereich),Die körperliche Unversehrtheit umfasst die physische und psychische Gesundheit (nicht geschützt ist das bloße Wohlbefinden),
Freiheit der Person iSd. Art. 2 II 2 GG (Sachlicher Schutzbereich),"Bei der Freiheit der Person ist unstrittig die Fort- (i.S.v. Wegbewegungsfreiheit) von einem bestimmten Ort (beeinträchtigt etwa bei Ingewahrsamnahme) geschützt.<ul><li>e.A. Enge Auslegung: Schutzgehalt beschränkt sich auf die obige Wegbewegungsfreiheit</li><li>a.A. Weite Auslegung: Art. 2 II 2 GG schützt auch die Hinbewegungsfreiheit, d.h. die Freiheit jeden an sich zugänglichen Ort aufzusuchen (beeinträchtigt etwa bei Platzverweis oder Wohnungsverweisung)</li></ul>",
Kommumikation iSd. Art. 10 GG,"<ul><li>Briefgeheimnis (Var. 1): Schützt alle erkennbar individuellen schriftlichen Mitteilungen vor Kenntnisnahme durch die öffentliche Gewalt (problematisch bei Postkarten, nicht erfasst sind Zeitschriften, Postwurfsendungen etc.);</li><li>Postgeheimnis (Var. 2): Schützt die körperliche Übermittlung von Informationen und Kleingütern durch Postdienstleister;</li><li>Fernmeldegeheimnis (Var.3): Schützt die Vertraulichkeit der individuellen Kommunikation mittels drahtloser oder drahtgebundener elektromagnetischer Wellen, auch Fax, E-Mail, SMS, aber nur während des aktiven Kommunikationsprozesses („Telekommunikation“)</li></ul>",
Wohnung iSd. Art. 13 GG,"Eine Wohnung sind alle Räume, die der allgemeinen Zugänglichkeit durch eine räumliche Abschottung entzogen sind und zur Stätte privaten Lebens und Wirkens gemacht sind",
Glaubensfreiheit (Sachlicher Schutzbereich),"Geschützt wird die Freiheit, sich eine religiöse oder areligiöse Überzeugung von der Stellung des Menschen in der Welt und seiner Beziehung zu höheren Mächten und tieferen Seinsschichten (Def. „Glauben“) zu bilden (forum internum) sowie die Freiheit, sich zu diesen Überzeugungen zu bekennen und sie zu verbreiten sowie sein Leben danach auszurichten (forum externum)",
Menschenwürde (Sachlicher Schutzbereich),"<ul><li>Mitgifttheorie: Eigenwert und Eigenständigkeit, die Wesenheit, die Natur des Menschen schlechthin</li><li>Leistungstheorie: Menschenwürde ergibt sich aus der eigenen Leistung der Identitätsbildung des vom Menschen selbst bestimmten Verhaltens</li><li>Kommunikationstheorie: konstruiert Würde als gegenseitige Achtung des Menschen in seinen kommunikativen Beziehungen und in seinem sozialen Geltungsanspruch.</li></ul>",
Meinung iSd. Art. 5 I GG,"Eine Meinung sind alle Werturteile, welche gekennzeichnet sind von Elementen der Stellungnahme und des Dafürhaltens.",
Information iSd. Art. 5 I GG,"Jeder denkbare Träger von Informationen und der Gegenstand der Information selbst. Allgemein zugänglich = geeignet und bestimmt, der Allgemeinheit, also einem nicht abgegrenzten Personenkreis, Informationen zu beschaffen. Schützt die positive (aktiv und passiv) und negative Informationsfreiheit",
Presse iSd. Art. 5 I GG,"Formaler Pressebegriff (maßgeblich!): Alle zur Verbreitung geeigneten und bestimmten Druckerzeugnisse, die periodisch oder einmalig erscheinen (auch CD, Diskette etc.)",
Rundfunk iSd. Art. 5 I GG,Jede an eine unbestimmte Vielzahl von Personen gerichtete Übermittlung von Gedankeninhalten durch physikalische Mittel (elektromagnetische Wellen). Rundfunk und Presse unterscheiden sich damit durch ihren technischen Verbreitungsweg.,
Kunst iSd. Art. 5 III GG,"Definition ist strittig, entspricht dem Wesen der Kunst.<ul><li>e.A.:Formeller Kunstbegriff: konventionelle künstlerische Ausdrucksweisen durch einen bestimmten Werktyp (Malerei, Bildhauerei, Dichtung usw.) - Kritik (teleologisch): Erfasst neue Kunstformen nicht.</li><li>a.A.: Materieller Kunstbegriff: Kennzeichnung durch individuelle schöpferische Gestaltung. Danach sei das „Wesentliche der künstlerischen Betätigung […] die freie schöpferische Gestaltung, in der Eindrücke, Erfahrungen, Erlebnisse des Künstlers durch das Medium einer bestimmten Formensprache zu unmittelbarer Anschauung gebracht werden“ – BVerfGE 30, 173 (188)</li><li>h.M.: Offener Kunstbegriff: Kunst ist durch die Mannigfaltigkeit ihres Aussagegehalts gekennzeichnet und erschließt sich im Wege fortschreitender Interpretation immer neuen Deutungsschichten</li></ul>",
Wissenschaft iSd. Art. 5 III GG,"Wissenschaft ist nach Inhalt und Form ernsthafter und planmäßiger Versuch zur Ermittlung der Wahrheit in einem methodisch geordneten Verfahren. Forschung ist „die geistige Tätigkeit mit dem Ziele, in methodischer, systematischer und nachprüfbarer Weise neue Erkenntnisse zu gewinnen“, Lehre die „wissenschaftlich fundierte Übermittlung der durch die Forschung gewonnenen Erkenntnisse“ – BVerfGE 35, 79 (113).",
Eigentum iSd. art. 14 GG,Eigentum ist jedes konkrete vermögenswerte Recht.,
Beruf iSd. Art. 12 GG,"Beruf ist jede Tätigkeit, die auf Dauer angelegt ist und der Schaffung und Erhaltung einer Lebensgrundlage dient.",
Eingriff bei der Berufsfreiheit gem. Art. 12 I GG (h.M.),"<ul><li>Ein Eingriff liegt vor, wenn die staatliche Regelung nicht nur irgendwie geartete, entfernte Folgen für die berufliche Tätigkeit hat, sondern eine subjektiv oder zumindest objektiv berufsregelnde Tendenz besitzt.</li><li>Subjektiv berufsregelnde Tendenz, wenn es dem Staat gerade darauf ankommt, die Berufsfreiheit einzuschränken</li><li>Objektiv berufsregelnde Tendenz, wenn die staatliche Maßnahme geeignet ist, infolge ihrer tatsächlichen Auswirkungen den Schutzbereich des Art. 12 I GG mittelbar erheblich oder unmittelbar zu beeinflussen</li></ul>",
Drei-Stufen-Theorie des BVerfG (Prüfungsort h.M.: Schranken-Schranken),"<ul><li>Berufsausübungsregelungen (1. Stufe): Beziehen sich auf die Art und Weise der Berufsausübung (z.B. Anzeigepflicht im Gaststättenrecht. Gerechtfertigt, wenn von vernünftigen Erwägungen des Allgemeinwohls getragen</li><li>Subjektive Berufswahlregelung (2. Stufe): Wahl eines Berufs/Verbleib in einem Beruf wird von persönlichen Eigenschaften und Fähigkeiten, erworbenen Abschlüssen oder erbrachten Leistungen des Berufsbewerbers abhängig gemacht. Nur gerechtfertigt, wenn die Voraussetzungen dem Schutz wichtiger Gemeinschaftsgüter dienen (z.B. Abwehr von Schäden für die Allgemeinheit)</li><li>Objektive Berufswahlregelung (3. Stufe): Sind von den persönlichen Eigenschaften und Verhältnissen des Grundrechtsträgers unabhängig. Nur gerechtfertigt, wenn sie zur Abwehr nachweisbarer oder höchstwahrscheinlicher schwerer Gefahren für ein überragend wichtiges Gemeinschaftsgut (z.B. Volksgesundheit) notwendig sind</li></ul>",
